mirna_id	target_gene_id
hsa-miR-1-3p	808
hsa-let-7e-5p	8243
hsa-miR-151a-5p	396
hsa-let-7g-5p	598
hsa-let-7c-5p	598
hsa-miR-34a-5p	7422
hsa-miR-205-5p	7422
hsa-miR-34b-3p	7422
hsa-miR-19b-3p	10018
hsa-miR-7-5p	8140
hsa-miR-218-5p	112939
hsa-miR-181a-5p	1027
hsa-miR-20a-5p	10018
hsa-miR-106b-5p	10018
hsa-miR-93-5p	10018
hsa-miR-34c-5p	1021
hsa-miR-17-5p	7048
hsa-miR-18a-5p	7048
hsa-miR-19a-3p	7048
hsa-miR-19b-3p	7048
hsa-miR-590-5p	7048
hsa-miR-126-5p	161742
hsa-miR-302a-3p	1026
hsa-miR-146a-5p	1026
hsa-miR-146b-5p	1026
hsa-miR-449a	595
hsa-miR-107	55038
hsa-miR-191-5p	6659
hsa-miR-107	1399
hsa-miR-185-5p	1021
hsa-miR-185-5p	8091
hsa-miR-196a-5p	571
hsa-miR-203a-3p	1021
hsa-miR-92a-3p	7048
hsa-miR-103a-3p	1385
hsa-miR-30a-5p	27327
hsa-miR-192-5p	84823
hsa-miR-192-5p	29127
hsa-miR-124-3p	127933
hsa-miR-124-3p	25987
hsa-miR-145-5p	3480
hsa-miR-98-5p	23468
hsa-miR-31-5p	7528
hsa-miR-31-5p	10725
hsa-miR-31-5p	51621
hsa-miR-125b-5p	6310
hsa-let-7b-5p	192669
hsa-let-7b-5p	5326
hsa-let-7b-5p	201626
hsa-miR-24-3p	1027
hsa-miR-192-5p	1027
hsa-miR-196a-5p	1027
hsa-miR-190a-5p	1027
hsa-miR-218-5p	1027
hsa-miR-155-5p	153222
hsa-miR-30a-5p	84823
hsa-miR-30a-5p	4154
hsa-miR-30a-5p	57532
hsa-miR-30a-5p	10146
hsa-miR-30a-5p	64866
hsa-miR-30a-5p	5049
hsa-miR-30a-5p	88745
hsa-miR-30a-5p	4144
hsa-let-7b-5p	51573
hsa-let-7b-5p	54978
hsa-miR-155-5p	10238
hsa-miR-1-3p	3192
hsa-miR-17-5p	595
hsa-miR-17-5p	4609
hsa-miR-20a-5p	4609
hsa-miR-34b-3p	4609
hsa-miR-125a-5p	51621
hsa-miR-7-5p	3480
hsa-miR-24-3p	8570
hsa-miR-24-3p	10725
hsa-miR-17-5p	8202
hsa-miR-25-3p	7157
hsa-miR-30d-5p	7157
hsa-miR-1285-3p	7157
hsa-miR-612	7157
hsa-let-7a-5p	894
hsa-miR-378a-3p	4609
hsa-miR-125b-5p	1871
hsa-miR-326	5315
hsa-miR-373-3p	10628
hsa-miR-192-5p	65125
hsa-miR-215-5p	65125
hsa-miR-221-3p	5728
hsa-miR-222-3p	5728
hsa-miR-34a-5p	4293
hsa-miR-302c-3p	595
hsa-miR-302d-3p	894
hsa-miR-98-5p	51621
hsa-miR-138-5p	3480
hsa-miR-17-3p	6648
hsa-miR-15a-5p	7157
hsa-miR-16-5p	7157
hsa-miR-181a-5p	10018
hsa-miR-221-3p	7157
hsa-miR-222-3p	7157
hsa-miR-17-5p	894
hsa-miR-17-5p	1871
hsa-miR-17-5p	7465
hsa-miR-20a-5p	894
hsa-miR-20a-5p	1871
hsa-miR-20a-5p	7465
hsa-miR-106b-5p	595
hsa-miR-106b-5p	894
hsa-miR-106b-5p	1871
hsa-miR-106b-5p	5728
hsa-miR-106b-5p	7465
hsa-miR-155-5p	6497
hsa-miR-194-5p	3480
hsa-miR-1-3p	2627
hsa-miR-302b-3p	7048
hsa-miR-372-3p	7048
hsa-miR-373-3p	4609
hsa-miR-29b-3p	8091
hsa-miR-663a	8140
hsa-miR-29b-3p	5728
hsa-miR-128-3p	7465
hsa-miR-27a-3p	7465
hsa-miR-27b-3p	7465
hsa-miR-494-3p	1021
hsa-let-7e-5p	595
hsa-miR-99a-5p	3480
hsa-miR-92a-3p	10018
hsa-miR-15a-5p	1399
hsa-miR-519d-3p	5728
hsa-miR-302a-3p	9802
hsa-miR-145-5p	7422
hsa-miR-93-5p	5728
hsa-miR-519a-3p	5728
hsa-miR-519a-3p	1026
hsa-miR-21-5p	6667
hsa-miR-365a-3p	595
hsa-miR-223-3p	3480
hsa-miR-34a-3p	331
hsa-miR-203a-3p	1871
hsa-miR-182-5p	1385
hsa-miR-19b-1-5p	595
hsa-miR-34b-3p	595
hsa-miR-200b-3p	1871
hsa-miR-26a-5p	1021
hsa-miR-26b-5p	1021
hsa-miR-10b-5p	10018
hsa-miR-10b-5p	1026
hsa-miR-92a-3p	10365
hsa-miR-28-5p	5594
hsa-miR-100-5p	3480
hsa-miR-200b-3p	7422
hsa-miR-335-5p	5594
hsa-miR-203a-3p	1385
hsa-miR-140-5p	3488
hsa-miR-124-3p	3159
hsa-miR-191-5p	4194
hsa-miR-32-5p	4193
hsa-miR-25-3p	4193
hsa-miR-519c-3p	5728
hsa-miR-519c-3p	1026
hsa-miR-129-2-3p	6659
hsa-miR-200b-3p	331
hsa-miR-200c-3p	331
hsa-miR-429	331
hsa-miR-103a-3p	5728
hsa-miR-107	5728
hsa-miR-191-5p	1021
hsa-miR-22-3p	5728
hsa-miR-25-3p	5728
hsa-miR-200c-3p	7422
hsa-miR-96-5p	5888
hsa-miR-497-5p	3480
hsa-miR-15a-5p	3159
hsa-miR-196a-5p	3159
hsa-miR-196a-5p	8091
hsa-miR-16-5p	8091
hsa-miR-15a-5p	8091
hsa-miR-33b-5p	4609
hsa-miR-338-3p	595
hsa-miR-106a-5p	7048
hsa-miR-370-3p	7048
hsa-miR-152-3p	3480
hsa-miR-762	262
hsa-miR-214-3p	7157
hsa-miR-10b-5p	7157
hsa-miR-139-5p	3480
hsa-miR-181a-5p	331
hsa-miR-181b-5p	331
hsa-miR-376c-3p	3480
hsa-miR-376a-3p	3480
hsa-miR-494-3p	10018
hsa-miR-193b-3p	7534
hsa-miR-23a-3p	5728
hsa-miR-27b-3p	8570
hsa-miR-149-5p	6667
hsa-miR-200c-3p	5366
hsa-miR-376a-3p	27161
hsa-miR-615-3p	84458
hsa-miR-29a-3p	5728
hsa-miR-182-5p	894
hsa-miR-23b-3p	5728
hsa-miR-204-5p	6659
hsa-miR-135a-5p	4609
hsa-miR-34a-5p	7157
hsa-miR-19a-3p	6307
hsa-miR-130a-3p	3949
hsa-miR-218-5p	1021
hsa-miR-22-3p	3146
hsa-miR-132-3p	1398
hsa-miR-144-3p	5728
hsa-miR-216b-5p	1457
hsa-miR-337-3p	1457
hsa-miR-760	1457
hsa-miR-186-5p	1457
hsa-miR-206	894
hsa-miR-503-5p	2247
hsa-miR-503-5p	7422
hsa-miR-559	2395
hsa-miR-589-5p	2395
hsa-miR-1270	2395
hsa-miR-620	2395
hsa-miR-522-3p	2395
hsa-miR-299-3p	2395
hsa-miR-506-3p	2395
hsa-miR-124-3p	2395
hsa-miR-624-3p	2395
hsa-miR-181b-5p	3480
hsa-miR-146a-5p	10163
hsa-miR-383-5p	3480
hsa-miR-145-5p	30837
hsa-miR-143-3p	4193
hsa-miR-145-5p	4193
hsa-miR-23a-3p	3151
hsa-miR-18b-5p	4193
hsa-miR-449c-5p	4609
hsa-miR-22-3p	6667
hsa-miR-138-5p	6659
hsa-miR-200b-3p	1385
hsa-miR-33a-5p	8202
hsa-miR-9-5p	595
hsa-miR-374b-5p	595
hsa-miR-374b-5p	84612
hsa-miR-374b-5p	6651
hsa-miR-374b-5p	23731
hsa-miR-769-5p	285172
hsa-miR-769-5p	23119
hsa-miR-421	1654
hsa-miR-421	153222
hsa-miR-449b-5p	1021
hsa-miR-608	7157
hsa-miR-605-5p	7157
hsa-miR-605-5p	4193
hsa-miR-590-3p	6497
hsa-miR-590-3p	8202
hsa-miR-590-3p	57532
hsa-miR-590-3p	165324
hsa-miR-590-3p	79441
hsa-miR-590-3p	59338
hsa-miR-590-3p	10472
hsa-miR-590-3p	8570
hsa-miR-590-3p	6310
hsa-miR-590-3p	389677
hsa-miR-590-3p	143686
hsa-miR-548b-3p	153339
hsa-miR-548b-3p	10472
hsa-miR-548b-3p	11215
hsa-miR-504-5p	4193
hsa-miR-504-5p	7157
hsa-miR-193b-3p	3146
hsa-miR-193b-3p	6510
hsa-miR-193b-3p	10451
hsa-miR-193b-3p	29127
hsa-miR-193b-3p	79980
hsa-miR-193b-3p	5557
hsa-miR-193b-3p	4144
hsa-miR-193b-3p	2739
hsa-miR-193b-3p	83667
hsa-miR-193b-3p	8140
hsa-miR-193b-3p	1021
hsa-miR-193b-3p	10238
hsa-miR-193b-3p	10152
hsa-miR-193b-3p	9802
hsa-miR-193b-3p	79794
hsa-miR-193b-3p	55038
hsa-miR-193b-3p	56889
hsa-miR-193b-3p	5888
hsa-miR-485-5p	7157
hsa-miR-484	6566
hsa-miR-429	4609
hsa-miR-425-5p	147687
hsa-miR-425-5p	90007
hsa-miR-425-5p	595
hsa-miR-425-5p	1656
hsa-miR-425-5p	390980
hsa-miR-425-5p	84919
hsa-miR-425-5p	57551
hsa-miR-425-5p	84458
hsa-miR-423-3p	138151
hsa-miR-335-5p	7048
hsa-miR-335-5p	5869
hsa-miR-335-5p	55196
hsa-miR-335-5p	84612
hsa-miR-335-5p	3304
hsa-miR-335-5p	83716
hsa-miR-335-5p	7422
hsa-miR-335-5p	10957
hsa-miR-335-5p	2872
hsa-miR-335-5p	346653
hsa-miR-335-5p	118987
hsa-miR-335-5p	84665
hsa-miR-335-5p	22877
hsa-miR-335-5p	3949
hsa-miR-335-5p	143686
hsa-miR-335-5p	59338
hsa-miR-335-5p	127933
hsa-miR-335-5p	1026
hsa-miR-335-5p	79628
hsa-miR-335-5p	6319
hsa-miR-335-5p	64866
hsa-miR-335-5p	221079
hsa-miR-335-5p	23049
hsa-miR-335-5p	114786
hsa-miR-335-5p	28970
hsa-miR-335-5p	26036
hsa-miR-335-5p	6667
hsa-miR-335-5p	9906
hsa-miR-335-5p	81848
hsa-miR-335-5p	23135
hsa-miR-335-5p	83667
hsa-miR-335-5p	8036
hsa-miR-335-5p	6095
hsa-miR-335-5p	79094
hsa-miR-335-5p	6310
hsa-miR-335-5p	10794
hsa-miR-335-5p	4609
hsa-miR-335-5p	153222
hsa-miR-335-5p	64241
hsa-miR-335-5p	10725
hsa-miR-335-5p	51621
hsa-miR-335-5p	201158
hsa-miR-335-5p	11057
hsa-miR-335-5p	26137
hsa-miR-335-5p	8202
hsa-miR-335-5p	3480
hsa-miR-335-5p	2444
hsa-miR-335-5p	84458
hsa-miR-335-5p	161742
hsa-miR-335-5p	5784
hsa-miR-335-5p	894
hsa-miR-335-5p	142891
hsa-miR-335-5p	163590
hsa-miR-335-5p	3159
hsa-miR-335-5p	56886
hsa-miR-335-5p	6307
hsa-miR-335-5p	9644
hsa-miR-335-5p	59283
hsa-miR-335-5p	54813
hsa-miR-331-3p	56889
hsa-miR-331-3p	30000
