n,time,estimator
409,12.684677980840206,bxt_gmo
409,71.53329288773239,bdt_gmo
449,13.106575390323997,bxt_gso
449,23.769900580868125,bdt_gso
449,17.303118577226996,bxt_gmo
449,105.70013533718884,bdt_gmo
494,17.429570568725467,bxt_gso
494,31.310626780614257,bdt_gso
494,22.58155693486333,bxt_gmo
494,130.9998829793185,bdt_gmo
542,22.920939216390252,bxt_gso
542,41.21648810245097,bdt_gso
542,30.703037345781922,bxt_gmo
542,180.51477297767997,bdt_gmo
596,30.4751483425498,bxt_gso
596,54.92573343962431,bdt_gso
596,41.875760320574045,bxt_gmo
596,242.1073879543692,bdt_gmo
655,40.32326849736273,bxt_gso
655,71.43153785727918,bdt_gso
655,56.028698267415166,bxt_gmo
655,335.2589685320854,bdt_gmo
719,53.229557167738676,bxt_gso
719,96.58166646584868,bdt_gso
719,71.41739860549569,bxt_gmo
719,445.3422068413347,bdt_gmo
790,70.54460700042546,bxt_gso
790,126.13183572515845,bdt_gso
790,95.29215239174664,bxt_gmo
790,609.0090043302625,bdt_gmo
868,93.57388793118298,bxt_gso
868,171.09215209446847,bdt_gso
868,133.2302881553769,bxt_gmo
868,889.6698993630707,bdt_gmo
954,123.73612763546407,bxt_gso
954,222.77306024730206,bdt_gso
954,175.1389488093555,bxt_gmo
954,1111.6988505665213,bdt_gmo
1048,164.18292285501957,bxt_gso
1048,296.18622001074255,bdt_gso
1048,241.01051216199994,bxt_gmo
1048,1522.7672514989972,bdt_gmo
1151,217.20097988843918,bxt_gso
1151,389.42239055782557,bdt_gso
1151,301.96614979207516,bxt_gmo
1151,2054.30712739937,bdt_gmo
1264,286.767041625455,bxt_gso
1264,519.7986548822373,bdt_gso
1264,402.98603496327996,bxt_gmo
1264,2848.6204851511866,bdt_gmo
1389,382.1394676845521,bxt_gso
1389,685.6332169119269,bdt_gso
1389,560.6266326587647,bxt_gmo
1389,3744.439088296145,bdt_gmo
1526,505.63080880977213,bxt_gso
1526,924.8810432851315,bdt_gso
1526,744.2939467802644,bxt_gmo
1526,5140.267606439069,bdt_gmo
1676,667.7795910444111,bxt_gso
1676,1210.014146046713,bdt_gso
1676,999.9778769221157,bxt_gmo
1676,6973.551332656294,bdt_gmo
1842,887.0232073869556,bxt_gso
1842,1598.992630239576,bdt_gso
1842,1356.8292117323726,bxt_gmo
1842,9545.912877088413,bdt_gmo
2023,1173.2414909489453,bxt_gso
2023,2118.856665311381,bdt_gso
2023,1824.7242806125432,bxt_gmo
2023,12614.54244302772,bdt_gmo
2222,1625.9955820702016,bxt_gso
2222,2876.8032931238413,bdt_gso
2222,2546.505004217848,bxt_gmo
2222,18179.13266365789,bdt_gmo
2442,2097.862085532397,bxt_gso
2442,3773.0721821933985,bdt_gso
2442,3142.330180535093,bxt_gmo
2442,23353.367766741663,bdt_gmo
2682,2788.447743019089,bxt_gso
2682,4932.631570294499,bdt_gso
2682,4365.779451364651,bxt_gmo
2682,32224.98029254377,bdt_gmo
2947,3698.536184128374,bxt_gso
2947,6549.61419938691,bdt_gso
2947,5787.141539044678,bxt_gmo
2947,43561.762907968834,bdt_gmo
3237,4909.504237970337,bxt_gso
3237,8700.293546753004,bdt_gso
3237,8606.130563750863,bxt_gmo
3237,58719.728927956894,bdt_gmo
3556,6347.575235819444,bxt_gso
3556,11460.713379703462,bdt_gso
3556,11997.681554839015,bxt_gmo
3556,85059.4136446882,bdt_gmo
3906,8427.727107590064,bxt_gso
3906,15371.550262039527,bdt_gso
3906,15906.50754625164,bxt_gmo
3906,121120.13141396083,bdt_gmo
4291,11431.157184490934,bxt_gso
4291,20867.505661737174,bdt_gso
4291,22258.74354921095,bxt_gmo
