ncID	tarID
NONHSAG012529	Q9UKA9
NONHSAG012529	F8WD15
NONHSAG012529	B3FTN5
NONHSAG053419	Q9C0J8
NONHSAG024200	Q9C0J8
NONHSAG001452	Q6ZN17
NONHSAG001452	Q9C0J8
NONHSAG002827	Q9C0J8
NONHSAG002827	Q9UKA9
NONHSAG002827	F8WD15
NONHSAG002827	Q8TB72
NONHSAG002827	Q96PU8
NONHSAG002827	B3FTN5
NONHSAG044006	Q9C0J8
NONHSAG029130	P55265
NONHSAG029130	Q9C0J8
NONHSAG000046	Q9C0J8
NONHSAG021347	Q9C0J8
NONHSAG031452	Q9C0J8
NONHSAG002985	Q9C0J8
NONHSAG021471	Q9C0J8
NONHSAG053842	Q9C0J8
NONHSAG053842	F8WD15
NONHSAG001683	Q9C0J8
NONHSAG031585	Q9C0J8
NONHSAG017120	Q9C0J8
NONHSAG013569	Q9C0J8
NONHSAG035023	Q9C0J8
NONHSAG035023	F8WD15
NONHSAG018999	Q9C0J8
NONHSAG018999	F8WD15
NONHSAG018999	B3FTN5
NONHSAG041670	Q9C0J8
NONHSAG041670	F8WD15
NONHSAG041670	B3FTN5
NONHSAG038076	Q9C0J8
NONHSAG000745	Q9C0J8
NONHSAG004831	F8WD15
NONHSAG004831	B3FTN5
NONHSAG019011	F8WD15
NONHSAG019011	Q96PU8
NONHSAG019015	Q9C0J8
NONHSAG019015	Q9UKA9
NONHSAG019015	F8WD15
NONHSAG019015	B3FTN5
NONHSAG010368	Q9C0J8
NONHSAG011705	Q9C0J8
NONHSAG012604	Q9C0J8
NONHSAG012604	F8WD15
NONHSAG012604	Q8TB72
NONHSAG012604	B3FTN5
NONHSAG003132	Q9C0J8
NONHSAG004457	Q9C0J8
NONHSAG011729	Q9C0J8
NONHSAG021359	Q6ZN17
NONHSAG021359	P55265
NONHSAG021359	Q9C0J8
NONHSAG003486	Q9C0J8
NONHSAG007119	Q9C0J8
NONHSAG007119	F8WD15
NONHSAG018117	Q9C0J8
NONHSAG018117	F8WD15
NONHSAG018309	Q9C0J8
NONHSAG007287	F8WD15
NONHSAG051736	Q9C0J8
NONHSAG051736	P38432
NONHSAG048464	Q9C0J8
NONHSAG004140	Q9C0J8
NONHSAG009822	P55265
NONHSAG009822	Q9C0J8
NONHSAG005114	Q9C0J8
NONHSAG005114	F8WD15
NONHSAG005114	B3FTN5
NONHSAG002728	Q9C0J8
NONHSAG001219	B3FTN5
NONHSAG001219	Q9C0J8
NONHSAG012555	P14866
NONHSAG012555	Q9C0J8
NONHSAG015097	F8WD15
NONHSAG015097	A0A024R1T4
NONHSAG015097	B3FTN5
NONHSAG017218	Q9C0J8
NONHSAG021390	Q9C0J8
NONHSAG027882	Q9C0J8
NONHSAG015671	Q9C0J8
NONHSAG035489	Q9C0J8
NONHSAG037774	F8WD15
NONHSAG036415	Q9C0J8
NONHSAG037411	Q9C0J8
NONHSAG037411	F8WD15
NONHSAG037411	Q8TB72
NONHSAG037411	B3FTN5
NONHSAG017679	P14866
NONHSAG017679	Q9C0J8
NONHSAG017683	Q9C0J8
NONHSAG051196	Q9C0J8
NONHSAG051196	Q9UKA9
NONHSAG004226	Q9C0J8
NONHSAG011084	Q9C0J8
NONHSAG011084	Q9UKA9
NONHSAG011084	F8WD15
NONHSAG011084	Q8TB72
NONHSAG011084	Q96PU8
NONHSAG011084	B3FTN5
NONHSAG017882	Q9C0J8
NONHSAG010543	Q9C0J8
NONHSAG053515	Q9C0J8
NONHSAG053515	B3FTN5
NONHSAG006265	Q9C0J8
NONHSAG026964	Q9C0J8
NONHSAG051755	P14866
NONHSAG051755	P55265
NONHSAG051755	Q9C0J8
NONHSAG002921	Q9C0J8
NONHSAG037616	Q9C0J8
NONHSAG000981	Q9C0J8
NONHSAG002576	Q9C0J8
NONHSAG002576	F8WD15
NONHSAG010735	Q9C0J8
NONHSAG010735	F8WD15
NONHSAG010735	B3FTN5
NONHSAG007821	Q9C0J8
NONHSAG034492	P14866
NONHSAG034492	P55265
NONHSAG034492	Q9C0J8
NONHSAG037225	P55265
NONHSAG037225	Q9C0J8
NONHSAG037225	F8WD15
NONHSAG037225	B3FTN5
NONHSAG006173	Q9C0J8
NONHSAG009182	Q9C0J8
NONHSAG055315	P55265
NONHSAG055315	Q9C0J8
NONHSAG012590	Q9C0J8
NONHSAG012590	F8WD15
NONHSAG012590	B3FTN5
NONHSAG003633	P14866
NONHSAG003633	Q8CJG0
NONHSAG003633	Q9C0J8
NONHSAG003633	F8WD15
NONHSAG003633	B3FTN5
NONHSAG018537	Q9C0J8
